Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion
Air_PaGi_10737,Airnar,París,Ginebra,411,Boeing 737,1028.6919,d:3060
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,33479.13254400001,1167
Tab_GiLo_11380,TabarAir,Ginebra,Los Angeles,9103,Airbus A380,109439.9072,626
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370,Boeing 737,17027.01,d:30180
Tab_CiRo_10747,TabarAir,Cincinnati,Roma,7480,Boeing 747,86115.744,518
Mol_CaMe_10737,MoldaviAir,Cádiz,Melbourne,20029,Boeing 737,53148.15324000001,d:103260
Mol_PaLo_11320,MoldaviAir,París,Londres,344,Airbus A320,915.2464,d:2640
Pam_PaMe_11380,PamPangea,París,Melbourne,16925,Airbus A380,217722.6584,1328
Pam_NuBa_10737,PamPangea,Nueva York,Bali,16589,Boeing 737,45277.61846400001,1459
Air_GiCa_11380,Airnar,Ginebra,Cádiz,1725,Airbus A380,20339.82,d:8100
Tab_LoCi_10737,TabarAir,Los Angeles,Cincinnati,3073,Boeing 737,7915.433400000001,253
Mol_LoBa_11380,MoldaviAir,Londres,Bali,12553,Airbus A380,156721.6944,d:51360
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,32758.18,224
Tab_GiLo_11380,TabarAir,Ginebra,Londres,739,Airbus A380,8542.84,69
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,21087.85536,662
Tab_RoLo_10747,TabarAir,Roma,Los Angeles,10077,Boeing 747,109569.2364,691
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,51629.634576,d:103260
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,104801.0184,d:37560
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,46622.41740000001,1485
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206,Airbus A320,16200.1424,569
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,12798,Boeing 747,156072.12192,d:63180
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,146010.4296,d:50700
Mol_LoBa_10737,MoldaviAir,Londres,Bali,12553,Boeing 737,33310.13868,d:69180
Air_BaCa_10737,Airnar,Bali,Cádiz,12798,Boeing 737,35577.41616000001,d:70260
Tab_LoRo_10747,TabarAir,Londres,Roma,1433,Boeing 747,16803.358,115
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,33740.9254,224
Pam_MeBa_10737,PamPangea,Melbourne,Bali,2779,Boeing 737,7158.148200000001,231
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,39073.873176,d:80400
Mol_LoPa_10747,MoldaviAir,Londres,París,344,Boeing 747,3813.7216,d:2520
Tab_GiRo_11320,TabarAir,Ginebra,Roma,698,Airbus A320,1751.98,70
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798,Boeing 737,33960.26088000001,d:70260
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,144578.9548,d:50700
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,20892.59744,662
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,18131.238008,618
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900,Boeing 747,192980.9648,d:79560
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,24078.9822,756
Fly_GiCi_10737,FlyQ,Ginebra,Cincinnati,6969,Boeing 737,18289.4436,549
Mol_BaMe_11320,MoldaviAir,Bali,Melbourne,2779,Airbus A320,7114.795799999999,d:13260
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,106741.778,d:37560
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674,Airbus A380,220507.64736,1311
Fly_GiRo_10737,FlyQ,Ginebra,Roma,698,Boeing 737,1763.9856,73
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383,Boeing 737,31607.26077600001,1140
Mol_LoPa_11320,MoldaviAir,Londres,París,344,Airbus A320,915.2464,d:2640
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,660,Airbus A320,1822.26,67
