Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,con_escala,consumo_kg,duracion,ingresos
Air_PaGi_10737,Airnar,París,Ginebra,411,Boeing 737,False,1028.6919,51,14232.65
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,True,33479.13254400001,1167,468527.19
Tab_GiLo_11380,TabarAir,Ginebra,Los Angeles,9103,Airbus A380,False,109439.9072,626,584789.19
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370,Boeing 737,False,17027.01,503,233342.51
Tab_CiRo_10747,TabarAir,Cincinnati,Roma,7480,Boeing 747,False,86115.744,518,438535.07
Mol_CaMe_10737,MoldaviAir,Cádiz,Melbourne,20029,Boeing 737,True,53148.15324000001,1721,728045.68
Mol_PaLo_11320,MoldaviAir,París,Londres,344,Airbus A320,False,915.2464,44,13805.52
Pam_PaMe_11380,PamPangea,París,Melbourne,16925,Airbus A380,True,217722.6584,1328,1056735.47
Pam_NuBa_10737,PamPangea,Nueva York,Bali,16589,Boeing 737,True,45277.61846400001,1459,600836.96
Air_GiCa_11380,Airnar,Ginebra,Cádiz,1725,Airbus A380,False,20339.82,135,110108.07
Tab_LoCi_10737,TabarAir,Los Angeles,Cincinnati,3073,Boeing 737,False,7915.433400000001,253,111056.67
Mol_LoBa_11380,MoldaviAir,Londres,Bali,12553,Airbus A380,False,156721.6944,856,764998.83
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,32758.18,224,184079.01
Tab_GiLo_11380,TabarAir,Ginebra,Londres,739,Airbus A380,False,8542.84,69,46200.3
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,True,21087.85536,662,299451.12
Tab_RoLo_10747,TabarAir,Roma,Los Angeles,10077,Boeing 747,False,109569.2364,691,619222.23
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,True,51629.634576,1721,719577.55
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,False,104801.0184,626,518685.45
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,True,46622.41740000001,1485,584677.98
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206,Airbus A320,True,16200.1424,569,245091.83
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,12798,Boeing 747,True,156072.12192,1053,761363.24
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,False,146010.4296,845,799063.9
Mol_LoBa_10737,MoldaviAir,Londres,Bali,12553,Boeing 737,True,33310.13868,1153,458825.79
Air_BaCa_10737,Airnar,Bali,Cádiz,12798,Boeing 737,True,35577.41616000001,1171,432558.22
Tab_LoRo_10747,TabarAir,Londres,Roma,1433,Boeing 747,False,16803.358,115,84592.95
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,33740.9254,224,174029.84
Pam_MeBa_10737,PamPangea,Melbourne,Bali,2779,Boeing 737,False,7158.148200000001,231,94840.33
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,True,39073.873176,1340,515892.83
Mol_LoPa_10747,MoldaviAir,Londres,París,344,Boeing 747,False,3813.7216,42,19403.07
Tab_GiRo_11320,TabarAir,Ginebra,Roma,698,Airbus A320,False,1751.98,70,27807.76
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798,Boeing 737,True,33960.26088000001,1171,459544.98
Air_BaGi_11380,Airnar,Bali,Ginebra,12383,Airbus A380,False,144578.9548,845,776778.69
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,True,20892.59744,662,303500.86
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877,Airbus A320,True,18131.238008,618,273824.24
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900,Boeing 747,True,192980.9648,1326,961592.79
Tab_LoLo_11320,TabarAir,Los Angeles,Londres,8785,Airbus A320,True,24078.9822,756,340318.62
Fly_GiCi_10737,FlyQ,Ginebra,Cincinnati,6969,Boeing 737,False,18289.4436,549,235350.43
Mol_BaMe_11320,MoldaviAir,Bali,Melbourne,2779,Airbus A320,False,7114.795799999999,221,110651.71
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103,Boeing 747,False,106741.778,626,535047.82
Pam_MeGi_11380,PamPangea,Melbourne,Ginebra,16674,Airbus A380,True,220507.64736,1311,1007717.74
Fly_GiRo_10737,FlyQ,Ginebra,Roma,698,Boeing 737,False,1763.9856,73,25642.94
Fly_BaGi_10737,FlyQ,Bali,Ginebra,12383,Boeing 737,True,31607.26077600001,1140,417965.59
Mol_LoPa_11320,MoldaviAir,Londres,París,344,Airbus A320,False,915.2464,44,12931.45
Fly_BaGi_11320,FlyQ,Barcelona,Ginebra,660,Airbus A320,False,1822.26,67,26022.75
Tab_LoRo_11320,TabarAir,Los Angeles,Roma,10077,Airbus A320,True,27357.200832,850,389542.92
Air_CiPa_10747,Airnar,Cincinnati,París,6370,Boeing 747,False,68583.242,444,373712.28
Pam_NuMe_10747,PamPangea,Nueva York,Melbourne,16082,Boeing 747,True,183640.229344,1272,961816.87
Pam_NuPa_11380,PamPangea,Nueva York,París,5835,Airbus A380,False,72174.282,409,374974.66
Fly_NuBa_11380,FlyQ,Nueva York,Bali,16589,Airbus A380,True,199439.5936,1305,999228.04
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798,Boeing 737,True,34607.12299200001,1171,447197.79
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,12798,Boeing 747,True,153234.446976,1053,763146.89
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370,Airbus A380,False,78055.432,444,386788.68
Air_GiLo_11320,Airnar,Ginebra,Los Angeles,9103,Airbus A320,True,24475.345336,779,365564.22
Pam_PaGi_11380,PamPangea,París,Ginebra,411,Airbus A380,False,5083.7412,47,27170.99
Tab_LoNu_11380,TabarAir,Londres,Nueva York,5566,Airbus A380,False,70133.8264,391,355495.16
Fly_BaRo_10747,FlyQ,Barcelona,Roma,859,Boeing 747,False,9797.9258,77,53023.53
