Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,130260.936,818
Pam_BaMe_11320,PamPangea,Bali,Melbourne,2779,Airbus A320,7254.301599999999,221
Pam_NuGi_11380,PamPangea,Nueva York,Ginebra,6206,Airbus A380,75328.428,433
Tab_LoRo_11320,TabarAir,Los Angeles,Roma,10077,Airbus A320,28409.400864,850
Tab_GiLo_10747,TabarAir,Ginebra,Londres,739,Boeing 747,8271.627,69
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,15733.5204,116
Air_GiCa_10747,Airnar,Ginebra,Cádiz,1725,Boeing 747,20043.465,135
Mol_CaBa_11380,MoldaviAir,Cádiz,Bali,12798,Airbus A380,150903.7776,873
Mol_CaMe_11380,MoldaviAir,Cádiz,Melbourne,20029,Airbus A380,248020.549088,1535
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011,Boeing 737,41350.02112800001,1340
Tab_NuRo_11320,TabarAir,Nueva York,Roma,6877,Airbus A320,17951.7208,618
Air_BaGi_10737,Airnar,Bali,Ginebra,12383,Boeing 737,31607.26077600001,1140
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,141218.5632,1049
Fly_RoBa_10737,FlyQ,Roma,Barcelona,859,Boeing 737,2129.117400000001,85
Mol_CiPa_11380,MoldaviAir,Cincinnati,París,6370,Airbus A380,78055.432,444
Air_GiLo_10737,Airnar,Ginebra,Los Angeles,9103,Boeing 737,23889.9132,711
Air_CiPa_11320,Airnar,Cincinnati,París,6370,Airbus A320,18291.0728,581
Pam_GiMe_10737,PamPangea,Ginebra,Melbourne,16674,Boeing 737,44666.84476800001,1466
Mol_BaPa_10747,MoldaviAir,Bali,París,11980,Boeing 747,128983.868,818
Pam_LoPa_10737,PamPangea,Londres,París,344,Boeing 737,886.0752000000001,46
Fly_CiNu_11380,FlyQ,Cincinnati,Nueva York,911,Airbus A380,11163.0296,80
Fly_CiGi_11320,FlyQ,Cincinnati,Ginebra,6969,Airbus A320,19283.390256,624
Tab_LoRo_11320,TabarAir,Londres,Roma,1433,Airbus A320,3812.639799999999,123
Mol_CiLo_10737,MoldaviAir,Cincinnati,Londres,6284,Boeing 737,16491.7296,497
Mol_BaMe_10747,MoldaviAir,Bali,Melbourne,2779,Boeing 747,29624.14,205
Fly_CiBa_10747,FlyQ,Cincinnati,Bali,15011,Boeing 747,179731.386432,1200
Fly_RoCi_10747,FlyQ,Roma,Cincinnati,7480,Boeing 747,79736.8,518
Mol_PaBa_10747,MoldaviAir,París,Bali,11980,Boeing 747,134092.14,818
Mol_MeCi_10747,MoldaviAir,Melbourne,Cincinnati,15262,Boeing 747,184428.694112,1217
Fly_BaBa_11380,FlyQ,Barcelona,Bali,13058,Airbus A380,171117.464128,1070
Air_PaCa_10747,Airnar,París,Cádiz,1447,Boeing 747,16504.7714,116
Mol_CiMe_10747,MoldaviAir,Cincinnati,Melbourne,15262,Boeing 747,184428.694112,1217
Tab_LoCi_10747,TabarAir,Londres,Cincinnati,6284,Boeing 747,73016.30960000001,438
Tab_LoCi_11320,TabarAir,Londres,Cincinnati,6284,Airbus A320,17716.053888,575
Air_BaLo_11380,Airnar,Bali,Los Angeles,12845,Airbus A380,163337.02,876
Pam_MePa_10747,PamPangea,Melbourne,París,16925,Boeing 747,193266.4396,1328
Pam_NuLo_10737,PamPangea,Nueva York,Londres,5566,Boeing 737,14336.9028,442
Air_LoPa_10737,Airnar,Los Angeles,París,9099,Boeing 737,23658.3099,711
Mol_PaLo_10737,MoldaviAir,París,Londres,344,Boeing 737,911.1528000000002,46
Air_LoCi_10747,Airnar,Los Angeles,Cincinnati,3073,Boeing 747,32758.18,224
Mol_LoCa_11320,MoldaviAir,Londres,Cádiz,1716,Airbus A320,4737.876,144
Air_CaGi_10747,Airnar,Cádiz,Ginebra,1725,Boeing 747,18572.385,135
Pam_GiPa_10747,PamPangea,Ginebra,París,411,Boeing 747,4775.5734,47
Pam_NuLo_11380,PamPangea,Nueva York,Londres,5566,Airbus A380,70777.25600000001,391
Mol_BaLo_11380,MoldaviAir,Bali,Londres,12553,Airbus A380,152368.314,856
Air_BaPa_10747,Airnar,Bali,París,11980,Boeing 747,130260.936,818
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,19525.792,662
Pam_NuPa_10747,PamPangea,Nueva York,París,5835,Boeing 747,62823.111,409
Pam_MePa_10737,PamPangea,Melbourne,París,16925,Boeing 737,44483.7744,1485
Fly_BaRo_10747,FlyQ,Bali,Roma,12738,Boeing 747,141218.5632,1049
Air_LoPa_10737,Airnar,Los Angeles,París,9099,Boeing 737,23437.2042,711
Fly_BaRo_10737,FlyQ,Bali,Roma,12738,Boeing 737,33479.13254400001,1167
Pam_GiLo_10737,PamPangea,Ginebra,Londres,739,Boeing 737,1903.5162,76
Air_PaCi_11320,Airnar,París,Cincinnati,6370,Airbus A320,17792.22536,581
Fly_BaBa_11380,FlyQ,Bali,Barcelona,13058,Airbus A380,169547.579136,1070
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480,Airbus A320,21087.85536,662
Fly_BaCi_10747,FlyQ,Bali,Cincinnati,15011,Boeing 747,181395.565936,1200
