Aircompany,Origen,Destino,Distancia,avion,con_escala,consumo_kg,duracion,ingresos,Id_vuelo,IC,Categoria_IC,Incidencias,Hora_Vuelo
Airnar,París,Ginebra,411,Boeing 737,False,1028.6919,51,14232.65,Air_PaGi_10737,2.5029,A,Ave impacta con el avión,23:00 19/04/2023
FlyQ,Bali,Roma,12738,Boeing 737,True,33479.13254400001,1167,468527.19,Fly_BaRo_10737,2.6282880000000004,A,Sin incidencias,21:15 01/06/2023
TabarAir,Ginebra,Los Angeles,9103,Airbus A380,False,109439.9072,626,584789.19,Tab_GiLo_11380,12.0224,C,Amenaza de seguridad a bordo,10:30 26/03/2023
MoldaviAir,París,Cincinnati,6370,Boeing 737,False,17027.01,503,233342.51,Mol_PaCi_10737,2.673,A,Sin incidencias,22:00 01/09/2023
TabarAir,Cincinnati,Roma,7480,Boeing 747,False,86115.744,518,438535.07,Tab_CiRo_10747,11.5128,C,Amenaza de seguridad a bordo,15:30 16/02/2023
MoldaviAir,Cádiz,Melbourne,20029,Boeing 737,True,53148.15324000001,1721,728045.68,Mol_CaMe_10737,2.65356,A,Sin incidencias,11:15 17/06/2023
MoldaviAir,París,Londres,344,Airbus A320,False,915.2464,44,13805.52,Mol_PaLo_11320,2.6606,A,"Incidencias con el suministro de combustible,",07:45 05/03/2023
PamPangea,París,Melbourne,16925,Airbus A380,True,217722.6584,1328,1056735.47,Pam_PaMe_11380,12.863968,C,Sin incidencias,20:45 11/09/2023
PamPangea,Nueva York,Bali,16589,Boeing 737,True,45277.61846400001,1459,600836.96,Pam_NuBa_10737,2.729376,A,Problema en el sistema de entretenimiento,09:00 24/02/2023
Airnar,Ginebra,Cádiz,1725,Airbus A380,False,20339.82,135,110108.07,Air_GiCa_11380,11.7912,C,Sin incidencias,08:00 03/05/2023
TabarAir,Los Angeles,Cincinnati,3073,Boeing 737,False,7915.433400000001,253,111056.67,Tab_LoCi_10737,2.5758,A,Sin incidencias,08:15 14/09/2023
MoldaviAir,Londres,Bali,12553,Airbus A380,False,156721.6944,856,764998.83,Mol_LoBa_11380,12.4848,C,Discusión a bordo,19:45 17/02/2023
TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,32758.18,224,184079.01,Tab_CiLo_10747,10.66,B,Incidencias con el suministro de combustible,11:30 23/02/2023
TabarAir,Ginebra,Londres,739,Airbus A380,False,8542.84,69,46200.3,Tab_GiLo_11380,11.56,C,Mal funcionamiento del tren de aterrizaje,13:30 18/10/2023
TabarAir,Cincinnati,Roma,7480,Airbus A320,True,21087.85536,662,299451.12,Tab_CiRo_11320,2.8192320000000004,A,Emergencia médica a bordo,08:15 12/02/2023
TabarAir,Roma,Los Angeles,10077,Boeing 747,False,109569.2364,691,619222.23,Tab_RoLo_10747,10.8732,B,Turbulencia severa,15:15 29/04/2023
MoldaviAir,Melbourne,Cádiz,20029,Boeing 737,True,51629.634576,1721,719577.55,Mol_MeCa_10737,2.577744,A,Emergencia de los sistemas de comunicación,20:30 11/02/2023
Airnar,Ginebra,Los Angeles,9103,Boeing 747,False,104801.0184,626,518685.45,Air_GiLo_10747,11.5128,C,Sin incidencias,16:45 22/07/2023
PamPangea,Melbourne,París,16925,Boeing 737,True,46622.41740000001,1485,584677.98,Pam_MePa_10737,2.754648000000001,A,Emergencia grave de los sistemas de comunicación,09:30 09/03/2023
PamPangea,Ginebra,Nueva York,6206,Airbus A320,True,16200.1424,569,245091.83,Pam_GiNu_11320,2.6104000000000003,A,Sin incidencias,10:15 10/06/2023
MoldaviAir,Cádiz,Bali,12798,Boeing 747,True,156072.12192,1053,761363.24,Mol_CaBa_10747,12.19504,C,Fallo leve de los sistemas de comunicación,06:30 26/06/2023
Airnar,Bali,Ginebra,12383,Airbus A380,False,146010.4296,845,799063.9,Air_BaGi_11380,11.7912,C,Sin incidencias,13:15 06/08/2023
MoldaviAir,Londres,Bali,12553,Boeing 737,True,33310.13868,1153,458825.79,Mol_LoBa_10737,2.65356,A,Ave impacta con el avión,20:00 09/04/2023
Airnar,Bali,Cádiz,12798,Boeing 737,True,35577.41616000001,1171,432558.22,Air_BaCa_10737,2.7799200000000006,A,Sin incidencias,13:30 29/04/2023
TabarAir,Londres,Roma,1433,Boeing 747,False,16803.358,115,84592.95,Tab_LoRo_10747,11.726,C,Problemas con el suministro de combustible,23:00 02/08/2023
TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,33740.9254,224,174029.84,Tab_CiLo_10747,10.9798,B,Condiciones meteorológicas ligeramente complejas,12:30 03/09/2023
PamPangea,Melbourne,Bali,2779,Boeing 737,False,7158.148200000001,231,94840.33,Pam_MeBa_10737,2.5758000000000005,A,Sin incidencias,08:00 17/10/2023
Airnar,Bali,Cincinnati,15011,Boeing 737,True,39073.873176,1340,515892.83,Air_BaCi_10737,2.603016,A,Sin incidencias,19:45 12/04/2023
MoldaviAir,Londres,París,344,Boeing 747,False,3813.7216,42,19403.07,Mol_LoPa_10747,11.0864,C,Incidencias de navegación,14:00 09/06/2023
TabarAir,Ginebra,Roma,698,Airbus A320,False,1751.98,70,27807.76,Tab_GiRo_11320,2.51,A,Sin incidencias,14:15 16/10/2023
MoldaviAir,Cádiz,Bali,12798,Boeing 737,True,33960.26088000001,1171,459544.98,Mol_CaBa_10737,2.6535600000000006,A,Sin incidencias,08:30 10/06/2023
Airnar,Bali,Ginebra,12383,Airbus A380,False,144578.9548,845,776778.69,Air_BaGi_11380,11.6756,C,"Emergencia médica a bordo,",14:00 18/03/2023
TabarAir,Cincinnati,Roma,7480,Airbus A320,True,20892.59744,662,303500.86,Tab_CiRo_11320,2.7931280000000003,A,Incidencias de navegación,06:30 11/07/2023
FlyQ,Roma,Nueva York,6877,Airbus A320,True,18131.238008,618,273824.24,Fly_RoNu_11320,2.636504,A,Aterrizaje de emergencia,09:15 06/02/2023
MoldaviAir,Melbourne,Londres,16900,Boeing 747,True,192980.9648,1326,961592.79,Mol_MeLo_10747,11.418992,C,Problemas con las puertas o ventanas,11:15 03/05/2023
TabarAir,Los Angeles,Londres,8785,Airbus A320,True,24078.9822,756,340318.62,Tab_LoLo_11320,2.74092,A,Problemas con el catering,15:45 24/07/2023
FlyQ,Ginebra,Cincinnati,6969,Boeing 737,False,18289.4436,549,235350.43,Fly_GiCi_10737,2.6244,A,Sin incidencias,18:30 15/04/2023
MoldaviAir,Bali,Melbourne,2779,Airbus A320,False,7114.795799999999,221,110651.71,Mol_BaMe_11320,2.5602,A,Complicaciones con las puertas o ventanas,16:30 21/10/2023
Airnar,Ginebra,Los Angeles,9103,Boeing 747,False,106741.778,626,535047.82,Air_GiLo_10747,11.726,C,Ave impacta con el avión,06:30 11/09/2023
PamPangea,Melbourne,Ginebra,16674,Airbus A380,True,220507.64736,1311,1007717.74,Pam_MeGi_11380,13.22464,C,Sin incidencias,16:30 31/08/2023
FlyQ,Ginebra,Roma,698,Boeing 737,False,1763.9856,73,25642.94,Fly_GiRo_10737,2.5272,A,Incidencias con las puertas o ventanas,14:30 03/09/2023
FlyQ,Bali,Ginebra,12383,Boeing 737,True,31607.26077600001,1140,417965.59,Fly_BaGi_10737,2.5524720000000007,A,Aterrizaje de emergencia,16:45 29/09/2023
MoldaviAir,Londres,París,344,Airbus A320,False,915.2464,44,12931.45,Mol_LoPa_11320,2.6606,A,Sin incidencias,13:15 10/08/2023
FlyQ,Barcelona,Ginebra,660,Airbus A320,False,1822.26,67,26022.75,Fly_BaGi_11320,2.761,A,Sin incidencias,22:00 03/07/2023
TabarAir,Los Angeles,Roma,10077,Airbus A320,True,27357.200832,850,389542.92,Tab_LoRo_11320,2.714816,A,Sin incidencias,23:45 08/07/2023
Airnar,Cincinnati,París,6370,Boeing 747,False,68583.242,444,373712.28,Air_CiPa_10747,10.7666,B,Aterrizaje de emergencia,21:00 19/03/2023
PamPangea,Nueva York,Melbourne,16082,Boeing 747,True,183640.229344,1272,961816.87,Pam_NuMe_10747,11.418992,C,Sin incidencias,23:15 01/08/2023
PamPangea,Nueva York,París,5835,Airbus A380,False,72174.282,409,374974.66,Pam_NuPa_11380,12.3692,C,Sin incidencias,09:45 12/02/2023
FlyQ,Nueva York,Bali,16589,Airbus A380,True,199439.5936,1305,999228.04,Fly_NuBa_11380,12.0224,C,Emergencia médica a bordo,08:15 26/01/2023
MoldaviAir,Cádiz,Bali,12798,Boeing 737,True,34607.12299200001,1171,447197.79,Mol_CaBa_10737,2.704104000000001,A,Condiciones meteorológicas malas y Condiciones meteorológicas adversas,09:45 21/06/2023
MoldaviAir,Cádiz,Bali,12798,Boeing 747,True,153234.446976,1053,763146.89,Mol_CaBa_10747,11.973312,C,Sin incidencias,15:00 29/10/2023
MoldaviAir,Cincinnati,París,6370,Airbus A380,False,78055.432,444,386788.68,Mol_CiPa_11380,12.2536,C,Discusión a bordo,22:00 19/08/2023
Airnar,Ginebra,Los Angeles,9103,Airbus A320,True,24475.345336,779,365564.22,Air_GiLo_11320,2.688712,A,Sin incidencias,08:30 17/02/2023
PamPangea,París,Ginebra,411,Airbus A380,False,5083.7412,47,27170.99,Pam_PaGi_11380,12.3692,C,Sin incidencias,19:15 28/02/2023
TabarAir,Londres,Nueva York,5566,Airbus A380,False,70133.8264,391,355495.16,Tab_LoNu_11380,12.6004,C,Emergencia médica a bordo,12:15 01/02/2023
FlyQ,Barcelona,Roma,859,Boeing 747,False,9797.9258,77,53023.53,Fly_BaRo_10747,11.406200000000002,C,Emergencia del motor,15:30 21/02/2023
Airnar,Ginebra,Cincinnati,6969,Airbus A320,True,18191.8776,624,270150.73,Air_GiCi_11320,2.6104,A,Inundación entre pasajeros,12:00 02/05/2023
PamPangea,Nueva York,Bali,16589,Boeing 747,True,191268.781184,1305,953521.27,Pam_NuBa_10747,11.529856,C,Amenaza de seguridad a bordo,19:30 26/09/2023
TabarAir,Roma,Nueva York,6877,Boeing 737,False,18382.221,542,248170.66,Tab_RoNu_10737,2.673,A,Emergencia del motor y Fallo del motor,20:00 13/09/2023
TabarAir,Roma,Cincinnati,7480,Airbus A380,False,89062.864,518,481741.1,Tab_RoCi_11380,11.9068,C,Turbulencia severa,20:00 05/10/2023
Airnar,Bali,Cincinnati,15011,Airbus A380,True,189491.65872,1200,937528.57,Air_BaCi_11380,12.62352,C,Sin incidencias,12:00 10/01/2023
TabarAir,Cincinnati,Los Angeles,3073,Boeing 747,False,35378.8344,224,182534.23,Tab_CiLo_10747,11.5128,C,Sin incidencias,08:15 05/01/2023
PamPangea,Nueva York,Melbourne,16082,Boeing 747,True,180074.399648,1272,963732.34,Pam_NuMe_10747,11.197264,C,Mal funcionamiento del tren de aterrizaje,17:00 13/07/2023
TabarAir,Londres,Ginebra,739,Airbus A320,False,1854.89,73,28976.53,Tab_LoGi_11320,2.51,A,Fallo leve eléctrico general,17:30 03/08/2023
TabarAir,Ginebra,Nueva York,6206,Airbus A380,False,75328.428,433,403373.01,Tab_GiNu_11380,12.138,C,Problema eléctrico general,22:45 10/10/2023
MoldaviAir,Londres,Cincinnati,6284,Boeing 747,False,70336.812,438,364925.44,Mol_LoCi_10747,11.193,C,Condiciones meteorológicas turbias,15:15 02/11/2023
Airnar,Cincinnati,Cádiz,6624,Boeing 747,False,77673.024,461,406616.7,Air_CiCa_10747,11.726,C,Incidencia eléctrico general,21:30 28/02/2023
MoldaviAir,Cincinnati,Cádiz,6624,Airbus A320,True,18155.85408,600,253091.84,Mol_CiCa_11320,2.74092,A,"Retraso extenso en la pista de despegue,",12:30 08/05/2023
Airnar,Bali,Ginebra,12383,Boeing 747,False,138602.919,845,743737.84,Air_BaGi_10747,11.193,C,Sin incidencias,08:30 05/03/2023
Airnar,Cádiz,Los Angeles,9373,Airbus A320,True,25445.970368,799,375988.83,Air_CaLo_11320,2.714816,A,Sin incidencias,09:00 14/01/2023
FlyQ,Roma,Cincinnati,7480,Airbus A380,False,90792.24,518,461132.41,Fly_RoCi_11380,12.138,C,Sin incidencias,13:15 19/01/2023
TabarAir,Roma,Cincinnati,7480,Airbus A380,False,88198.176,518,490784.1,Tab_RoCi_11380,11.791200000000002,C,Amenaza de seguridad a bordo,21:45 27/06/2023
Airnar,Bali,Cincinnati,15011,Airbus A380,True,191296.341184,1200,958617.02,Air_BaCi_11380,12.743744,C,Sin incidencias,09:45 06/04/2023
FlyQ,Cincinnati,Ginebra,6969,Airbus A320,True,18555.715152,624,278084.62,Fly_CiGi_11320,2.662608,A,Sin incidencias,16:15 21/08/2023
Airnar,Los Angeles,Bali,12845,Boeing 747,True,148101.00032,1056,763153.18,Air_LoBa_10747,11.529856,C,Sin incidencias,08:30 08/01/2023
MoldaviAir,Melbourne,Cincinnati,15262,Airbus A380,True,183485.8688,1217,1006425.52,Mol_MeCi_11380,12.0224,C,Sin incidencias,10:15 06/11/2023
Airnar,Cincinnati,París,6370,Airbus A380,False,81000.92,444,385380.29,Air_CiPa_11380,12.716,C,Incidencias con las puertas o ventanas,14:45 01/07/2023
MoldaviAir,París,Londres,344,Boeing 747,False,3850.392,42,20473.71,Mol_PaLo_10747,11.193,C,Sambódromo entre pasajeros,18:15 05/09/2023
FlyQ,Bali,Roma,12738,Boeing 747,True,149691.676992,1049,761154.21,Fly_BaRo_10747,11.751584,C,Incidencias con el catering,08:45 15/03/2023
