Id_vuelo,Aircompany,Origen,Destino,Distancia,avion,consumo_kg,duracion,Incidencias
Air_PaGi_10737,Airnar,París,Ginebra,411.0,Boeing 737,,51.0,Ave impacta con el avión
Fly_BaRo_10737,FlyQ,Bali,Roma,12738.0,Boeing 737,33479.13254400001,1167.0,Sin incidencias
Tab_GiLo_11380,TabarAir,Ginebra,Los Angeles,9103.0,Airbus A380,,626.0,Amenaza de seguridad a bordo
Mol_PaCi_10737,MoldaviAir,París,Cincinnati,6370.0,Boeing 737,17027.01,503.0,Sin incidencias
Tab_CiRo_10747,TabarAir,Cincinnati,Roma,7480.0,Boeing 747,86115.744,518.0,Amenaza de seguridad a bordo
Mol_CaMe_10737,MoldaviAir,Cádiz,Melbourne,20029.0,Boeing 737,53148.15324000001,,Sin incidencias
Mol_PaLo_11320,MoldaviAir,París,Londres,344.0,Airbus A320,915.2464,44.0,"Incidencias con el suministro de combustible,"
Pam_PaMe_11380,PamPangea,París,Melbourne,16925.0,Airbus A380,217722.6584,1328.0,Sin incidencias
Pam_NuBa_10737,PamPangea,Nueva York,Bali,16589.0,Boeing 737,45277.61846400001,1459.0,Problema en el sistema de entretenimiento
Air_GiCa_11380,Airnar,Ginebra,Cádiz,,Airbus A380,,135.0,Sin incidencias
Tab_LoCi_10737,TabarAir,Los Angeles,Cincinnati,,Boeing 737,"7915,433400000001",,Sin incidencias
Mol_LoBa_11380,MoldaviAir,Londres,Bali,,Airbus A380,156721.6944,856.0,Discusión a bordo
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073.0,Boeing 747,32758.18,224.0,Incidencias con el suministro de combustible
Tab_GiLo_11380,TabarAir,Ginebra,Londres,739.0,Airbus A380,8542.84,69.0,Mal funcionamiento del tren de aterrizaje
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480.0,Airbus A320,21087.85536,662.0,Emergencia médica a bordo
Tab_RoLo_10747,TabarAir,Roma,Los Angeles,10077.0,Boeing 747,,691.0,Turbulencia severa
Mol_MeCa_10737,MoldaviAir,Melbourne,Cádiz,20029.0,Boeing 737,51629.634576,1721.0,Emergencia de los sistemas de comunicación
Air_GiLo_10747,Airnar,Ginebra,Los Angeles,9103.0,Boeing 747,104801.0184,626.0,Sin incidencias
Pam_MePa_10737,PamPangea,Melbourne,París,16925.0,Boeing 737,46622.41740000001,1485.0,Emergencia grave de los sistemas de comunicación
Pam_GiNu_11320,PamPangea,Ginebra,Nueva York,6206.0,Airbus A320,16200.1424,569.0,Sin incidencias
Mol_CaBa_10747,MoldaviAir,Cádiz,Bali,12798.0,Boeing 747,156072.12192,1053.0,Fallo leve de los sistemas de comunicación
Air_BaGi_11380,Airnar,Bali,Ginebra,,Airbus A380,146010.4296,845.0,Sin incidencias
Mol_LoBa_10737,MoldaviAir,Londres,Bali,12553.0,Boeing 737,33310.13868,1153.0,Ave impacta con el avión
Air_BaCa_10737,Airnar,Bali,Cádiz,12798.0,Boeing 737,,1171.0,Sin incidencias
Tab_LoRo_10747,TabarAir,Londres,Roma,1433.0,Boeing 747,16803.358,115.0,Problemas con el suministro de combustible
Tab_CiLo_10747,TabarAir,Cincinnati,Los Angeles,3073.0,Boeing 747,"33740,9254",224.0,Condiciones meteorológicas ligeramente complejas
Pam_MeBa_10737,PamPangea,Melbourne,Bali,,Boeing 737,7158.148200000001,,Sin incidencias
Air_BaCi_10737,Airnar,Bali,Cincinnati,15011.0,Boeing 737,,1340.0,Sin incidencias
Mol_LoPa_10747,MoldaviAir,Londres,París,344.0,Boeing 747,"3813,7216",42.0,Incidencias de navegación
Tab_GiRo_11320,TabarAir,Ginebra,Roma,698.0,Airbus A320,1751.98,70.0,Sin incidencias
Mol_CaBa_10737,MoldaviAir,Cádiz,Bali,12798.0,Boeing 737,33960.26088000001,1171.0,Sin incidencias
Air_BaGi_11380,Airnar,Bali,Ginebra,12383.0,Airbus A380,144578.9548,845.0,"Emergencia médica a bordo,"
Tab_CiRo_11320,TabarAir,Cincinnati,Roma,7480.0,Airbus A320,20892.59744,662.0,Incidencias de navegación
Fly_RoNu_11320,FlyQ,Roma,Nueva York,6877.0,Airbus A320,18131.238008,618.0,Aterrizaje de emergencia
Mol_MeLo_10747,MoldaviAir,Melbourne,Londres,16900.0,Boeing 747,192980.9648,1326.0,Problemas con las puertas o ventanas
