id_partido|equipo_local|equipo_visitante|Division|Temporada|fecha_dt|goles_local|goles_visitante|arbitro|estadio|odd_1|odd_x|odd_2|Informe_Tarjetas
214023|Celta Vigo|Real Madrid|1|2019|2019-08-17 17:00:00|1|3|Javier Estrada|Abanca-Balaídos|4.75|4.2|1.65|Hubo 01 tajetas rojas al equipo visitante;Hubo 0 rojas a jugadores del equipo local;Hubo 2 tarjetas amarillas para el equipo visitantes;Hubo 6 amarillas para jugadores del equipo local
214403|Racing Santander|Malaga|2|2019|2019-08-17 18:00:00|0|1|Aitor Gorostegui|Campos de Sport de El Sardinero|2.87|3.1|2.55|Hubo 03 amarillas mostradas al equipo local;Hubo 2  tarjetas amarillas de jugadores visitantes;Hubo 00 rojas a jugadores visitantes;Hubo 1 rojas a jugadores del equipo local
214024|Valencia|Real Sociedad|1|2019|2019-08-17 19:00:00|1|1|Jesús Gil|Estadio de Mestalla|1.66|3.75|5.5|Hubo 4 amarillas mostradas al equipo local;Hubo 1 tarjetas rojas sobre el equipo local;Hubo 4 tarjetas amarillas para el equipo visitantes;Hubo 0 tajetas rojas al equipo visitante
214404|Almeria|Albacete|2|2019|2019-08-17 19:00:00|3|0|Saúl Ais|Estadio de los Juegos Mediterráneos|2.37|3.1|3.1|Hubo 00 rojas a jugadores visitantes;Hubo 01 amarillas mostradas al equipo local;Hubo 1  tarjetas amarillas de jugadores visitantes;Hubo 0 tarjetas rojas sobre el equipo local
214026|Villarreal|Granada CF|1|2019|2019-08-17 21:00:00|4|4|Adrián Cordero|Estadio de la Cerámica|1.6|3.8|6.5|Hubo 01  tarjetas amarillas de jugadores visitantes;Hubo 00 tajetas rojas al equipo visitante;Hubo 03 amarillas para jugadores del equipo local;Hubo 00 rojas a jugadores del equipo local
214025|Leganes|Osasuna|1|2019|2019-08-17 21:00:00|0|1|Javier Alberola|Estadio Municipal de Butarque|2.0|3.2|4.2|Hubo 01 amarillas mostradas al equipo local;Hubo 1 rojas a jugadores del equipo local;Hubo 4  tarjetas amarillas de jugadores visitantes;Hubo 0 rojas a jugadores visitantes
214406|Zaragoza|Tenerife|2|2019|2019-08-17 21:00:00|2|0|Dámaso Arcediano|Estadio de la Romareda|2.0|3.3|3.8|Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 01 amarillas para jugadores del equipo local;Hubo 0 tarjetas rojas sobre el equipo local;Hubo 1 tajetas rojas al equipo visitante
214405|Rayo Vallecano|Mirandes|2|2019|2019-08-17 21:00:00|2|2|Juan Pulido|Estadio de Vallecas|1.53|3.75|7.0|Hubo 1 rojas a jugadores visitantes;Hubo 01 tarjetas rojas sobre el equipo local;Hubo 00 amarillas para jugadores del equipo local;Hubo 4  tarjetas amarillas de jugadores visitantes
214027|Alaves|Levante|1|2019|2019-08-18 17:00:00|1|0|César Soto|Estadio de Mendizorroza|2.15|3.2|3.6|Hubo 01  tarjetas amarillas de jugadores visitantes;Hubo 0 rojas a jugadores visitantes;Hubo 2 amarillas para jugadores del equipo local;Hubo 0 tarjetas rojas sobre el equipo local
214408|Numancia|Alcorcon|2|2019|2019-08-18 18:00:00|0|1|Alejandro Muñiz|Nuevo Estadio Los Pajaritos|1.95|3.3|4.0|Hubo 0 tajetas rojas al equipo visitante;Hubo 2 amarillas mostradas al equipo local;Hubo 06 tarjetas amarillas para el equipo visitantes;Hubo 00 rojas a jugadores del equipo local
214407|Deportivo La Coruna|Oviedo|2|2019|2019-08-18 18:00:00|3|2|Daniel Ocón|Estadio Abanca-Riazor|1.75|3.3|5.25|Hubo 00 tarjetas rojas sobre el equipo local;Hubo 03  tarjetas amarillas de jugadores visitantes;Hubo 00 amarillas mostradas al equipo local;Hubo 0 rojas a jugadores visitantes
214411|Girona|Sporting Gijon|2|2019|2019-08-18 18:30:00|1|1|Daniel Trujillo|Estadi Municipal de Montilivi|2.2|3.1|3.5|Hubo 1 tarjetas amarillas para el equipo visitantes;Hubo 1 tajetas rojas al equipo visitante;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 2 amarillas para jugadores del equipo local
214028|Espanyol|Sevilla|1|2019|2019-08-18 19:00:00|0|2|Juan Martínez|RCDE Stadium|3.2|3.3|2.3|Hubo 02  tarjetas amarillas de jugadores visitantes;Hubo 00 tarjetas rojas sobre el equipo local;Hubo 0 tajetas rojas al equipo visitante;Hubo 02 amarillas para jugadores del equipo local
214410|Las Palmas|Huesca|2|2019|2019-08-18 20:00:00|0|1|Jorge Figueroa|Estadio de Gran Canaria|2.25|3.25|3.2|Hubo 00 rojas a jugadores del equipo local;Hubo 3 tarjetas amarillas para el equipo visitantes;Hubo 0 rojas a jugadores visitantes;Hubo 03 amarillas mostradas al equipo local
214029|Atletico Madrid|Getafe|1|2019|2019-08-18 22:00:00|1|0|Guillermo Cuadra|Estadio Wanda Metropolitano|1.44|4.33|8.0|Hubo 04  tarjetas amarillas de jugadores visitantes;Hubo 3 amarillas mostradas al equipo local;Hubo 1 rojas a jugadores del equipo local;Hubo 1 tajetas rojas al equipo visitante
214034|Osasuna|Eibar|1|2019|2019-08-24 17:00:00|0|0|David Medié|Estadio El Sadar|2.5|3.2|2.9|Hubo 04  tarjetas amarillas de jugadores visitantes;Hubo 0 rojas a jugadores del equipo local;Hubo 04 amarillas para jugadores del equipo local;Hubo 00 tajetas rojas al equipo visitante
214414|Oviedo|Lugo|2|2019|2019-08-24 18:00:00|1|1|José López|Estadio Nuevo Carlos Tartiere|1.8|3.5|4.0|Hubo 01 tarjetas rojas sobre el equipo local;Hubo 2 amarillas mostradas al equipo local;Hubo 01 rojas a jugadores visitantes;Hubo 5 tarjetas amarillas para el equipo visitantes
214415|Racing Santander|Almeria|2|2019|2019-08-24 18:00:00|1|1|Oliver De La Fuente|Campos de Sport de El Sardinero|2.1|3.0|3.5|Hubo 00 rojas a jugadores visitantes;Hubo 02  tarjetas amarillas de jugadores visitantes;Hubo 2 amarillas para jugadores del equipo local;Hubo 0 rojas a jugadores del equipo local
214416|Mirandes|Cadiz|2|2019|2019-08-24 19:00:00|1|2|Iosu Galech|Estadio Municipal de Anduva|2.7|3.1|2.7|Hubo 00 rojas a jugadores visitantes;Hubo 04 amarillas mostradas al equipo local;Hubo 01 rojas a jugadores del equipo local;Hubo 01  tarjetas amarillas de jugadores visitantes
