iter	RMSE
0	316501.8974
1	283115.1474
2	252787.3843
3	230563.1643
4	211307.3582
5	211307.3573
6	195417.5297
7	183204.9695
8	172302.9658
9	163431.6316
10	158892.3663
11	150953.4043
12	144823.262
13	140422.2729
14	135720.227
15	132225.5697
16	129154.5362
17	126524.8423
18	124092.6222
19	121860.7269
20	120080.9906
21	118521.1716
22	116900.5793
23	115604.7402
24	114464.0007
25	113486.7666
26	112485.7208
27	111829.9088
28	111206.5944
29	110797.5025
30	110574.4045
31	110047.9655
32	109591.775
33	109210.2685
34	108847.1248
35	108535.3968
36	108213.1442
37	107893.3048
38	107661.7241
39	107388.0522
40	107211.3445
41	107027.6101
42	106891.3238
43	106265.1862
44	106046.0654
45	105925.5585
46	105777.694
47	105654.1235
48	105405.301
49	105270.2092
50	105093.8149
51	104978.5722
52	104918.9158
53	104861.2728
54	104779.2811
55	104694.2143
56	104505.911
57	104446.2051
58	104352.9293
59	104277.8941
60	104223.7174
61	104020.4136
62	103890.6912
63	103804.2601
64	103587.2797
65	103462.4825
66	103363.8045
67	103285.398
68	103147.0241
69	103066.547
70	102921.0067
71	102880.8517
72	102812.5925
73	102695.6826
74	102668.3404
75	102538.7127
76	102458.7052
77	102324.2553
78	102268.2204
79	102171.5797
80	102073.6294
81	101987.4828
82	101896.8946
83	101772.1444
84	101702.0894
85	101680.7688
86	101631.7372
87	101524.9903
88	101432.5006
89	101316.5693
90	101308.5098
91	101279.9293
92	101172.8009
93	101068.9472
94	100999.4236
95	100959.6168
96	100876.5252
97	100831.2521
98	100777.0398
99	100731.2848
100	100691.6798
101	100585.9918
102	100501.5942
103	100465.5857
104	100371.8053
105	100321.2879
106	100255.0709
107	100132.167
108	100080.6958
109	100017.3297
110	99958.64786
111	99890.20695
112	99890.20552
113	99857.77258
114	99823.23468
115	99695.40979
116	99642.13095
117	99596.66857
118	99553.16362
119	99526.8519
120	99489.7612
121	99400.99262
122	99366.21292
123	99286.22773
124	99189.5613
125	99139.07436
126	99054.33118
127	98998.62707
128	98944.71188
129	98865.53387
130	98809.04859
131	98731.34512
132	98684.24867
133	98630.11182
134	98568.66075
135	98484.75681
136	98484.75592
137	98427.39098
138	98357.33683
139	98357.33577
140	98245.16108
141	98220.68225
142	98188.75359
143	98117.66309
144	98014.36514
145	97973.49404
146	97939.96542
147	97839.44881
148	97834.50088
149	97790.64544
150	97720.31627
151	97707.5558
152	97621.8464
153	97615.79187
154	97569.28758
155	97523.4135
156	97495.42871
157	97459.94065
158	97375.33448
159	97302.06529
160	97215.42044
161	97124.02548
162	97048.53041
163	96968.20913
164	96909.31275
165	96877.41353
166	96825.67923
167	96733.51931
168	96635.47048
169	96606.63167
170	96548.875
171	96500.69219
172	96432.19775
173	96403.34368
174	96358.8319
175	96315.43947
176	96276.38495
177	96234.55343
178	96234.5531
179	96161.4717
180	96093.57272
181	96051.99435
182	96002.85618
183	95905.78615
184	95830.55284
185	95788.24134
186	95746.73698
187	95704.09762
188	95634.8238
189	95630.60186
190	95607.11849
191	95546.1011
192	95511.86117
193	95468.27767
194	95379.24377
195	95335.93479
196	95333.52255
197	95272.65326
198	95271.26072
199	95241.54536
200	95186.42378
201	95149.08234
202	95116.18388
203	95077.98587
204	95039.62924
205	94995.38425
206	94974.59188
207	94939.13591
208	94900.98626
209	94877.43616
210	94853.62282
211	94819.86599
212	94767.50527
213	94751.13576
214	94692.34452
215	94607.51806
216	94553.31319
217	94512.1121
218	94508.82589
219	94489.64618
220	94437.26917
221	94407.94508
222	94352.52799
223	94283.8782
224	94238.78493
225	94189.06677
226	94154.37103
227	94123.63121
228	94060.24864
229	94029.69349
230	93961.2908
231	93893.2862
232	93820.52446
233	93787.32458
234	93750.25706
235	93750.25588
236	93728.09616
237	93693.18336
238	93665.84152
239	93658.90859
240	93658.9082
241	93613.92587
242	93571.95287
243	93544.99083
244	93504.22276
245	93452.16425
246	93395.99579
247	93372.13121
248	93305.83022
249	93264.73496
250	93233.5427
251	93231.1459
252	93208.97099
253	93148.39454
254	93087.2178
255	93070.88048
256	93040.30872
257	92985.65139
258	92953.94243
259	92916.50738
260	92860.20815
261	92815.09317
262	92757.87729
263	92751.23802
264	92736.77766
265	92705.86984
266	92668.2598
267	92625.99791
268	92598.74412
269	92582.8363
270	92535.61914
271	92478.90015
272	92436.36447
273	92392.59742
274	92334.40742
275	92298.85172
276	92296.58511
277	92286.7381
278	92259.59267
279	92233.60321
280	92214.21595
281	92176.15671
282	92174.01365
283	92129.06249
284	92085.55575
285	92078.6224
286	92042.19643
287	91996.43245
288	91964.32769
289	91920.82155
290	91905.62636
291	91878.77617
292	91847.29356
293	91817.68225
294	91763.69547
295	91761.12527
296	91719.63204
297	91693.71818
298	91659.47443
299	91624.75761
300	91606.84233
301	91590.5925
302	91574.60032
303	91573.34344
304	91526.00423
305	91472.86358
306	91437.67206
307	91391.79782
308	91375.68585
309	91329.97882
310	91293.17644
311	91267.82147
312	91247.1735
313	91247.17321
314	91205.00715
315	91169.17503
316	91134.74373
317	91104.08811
318	91057.33186
319	91021.17585
320	90997.37637
321	90996.36012
322	90996.35975
323	90957.86972
324	90938.87016
325	90895.49739
326	90870.96312
327	90851.56216
328	90829.125
329	90796.07954
330	90767.67272
331	90767.67272
332	90721.99063
333	90693.75598
334	90693.75572
335	90692.28215
336	90649.76663
337	90626.31179
338	90581.09474
339	90551.22269
340	90501.9132
341	90449.35243
342	90422.54217
343	90421.34667
344	90387.60689
345	90338.51577
346	90296.94128
347	90265.64162
348	90210.12835
349	90187.48675
350	90115.56003
351	90085.39733
352	90038.00882
353	90002.51936
354	89970.27166
355	89915.84745
356	89886.71676
357	89851.2802
358	89806.39547
359	89775.44015
360	89755.95341
361	89729.67503
362	89699.10256
363	89682.23001
364	89644.96754
365	89612.68513
366	89580.14138
367	89551.41335
368	89513.71005
369	89511.92868
370	89460.72699
371	89432.98462
372	89401.83008
373	89368.18444
374	89338.43728
375	89310.04625
376	89272.80742
377	89246.70653
378	89213.9551
379	89181.25675
380	89159.1595
381	89130.4771
382	89080.90758
383	89058.37198
384	89047.20851
385	89028.82197
386	88934.48449
387	88917.01274
388	88875.66492
389	88844.71445
390	88844.71404
391	88830.49341
392	88784.80963
393	88757.74622
394	88732.00969
395	88724.12455
396	88696.90092
397	88650.32936
398	88631.06246
399	88612.37982
400	88578.96443
401	88561.155
402	88525.28666
403	88488.44178
404	88462.37049
405	88443.60394
406	88364.70771
407	88318.165
408	88299.11312
409	88263.94017
410	88246.0954
411	88227.38554
412	88206.56691
413	88148.1455
414	88090.59664
415	88064.54867
416	88041.00977
417	88013.2917
418	87981.59705
419	87924.02379
420	87903.09921
421	87864.90632
422	87850.77832
423	87832.46744
424	87804.86396
425	87763.08737
426	87742.11678
427	87728.99938
428	87675.22829
429	87661.45589
430	87638.45595
431	87622.4843
432	87584.50114
433	87559.79798
434	87510.95294
435	87496.30384
436	87438.02879
437	87419.72935
438	87391.18748
439	87361.04223
440	87331.6288
441	87296.73056
442	87269.00459
443	87240.21925
444	87201.83497
445	87186.2787
446	87143.68207
447	87127.90594
448	87109.06716
449	87098.52628
450	87050.14017
451	87023.07949
452	86980.24554
453	86953.92959
454	86953.63577
455	86947.72208
456	86910.34678
457	86885.41313
458	86827.39076
459	86827.39073
460	86826.55347
461	86816.37763
462	86793.70071
463	86789.80123
464	86773.7569
465	86772.75872
466	86761.9316
467	86726.40062
468	86702.12034
469	86678.50439
470	86656.5662
471	86616.33487
472	86597.80268
473	86553.80858
474	86530.09861
475	86516.02607
476	86420.61356
477	86397.95493
478	86377.48396
479	86358.57636
480	86339.53303
481	86318.59018
482	86302.19822
483	86287.07973
484	86237.06498
485	86208.55849
486	86177.77181
487	86148.08342
488	86102.20647
489	86089.61128
490	86074.54591
491	86029.35813
492	86015.70219
493	86004.04112
494	86004.04056
495	85991.47507
496	85940.87253
497	85923.72071
498	85884.30613
499	85843.12157
500	85832.29364
501	85808.8591
502	85775.91591
503	85761.09837
504	85730.70184
505	85714.7181
506	85703.60462
507	85666.74961
508	85648.1703
509	85592.60901
510	85584.0412
511	85533.48918
512	85516.01817
513	85490.37542
514	85434.69584
515	85405.41357
516	85367.73135
517	85334.99761
518	85292.57408
519	85265.90301
520	85240.01451
521	85197.78509
522	85197.37327
523	85174.24153
524	85150.40371
525	85140.67863
526	85127.34843
527	85102.70406
528	85055.28353
529	85044.44459
530	85007.74807
531	84989.80472
532	84963.9995
533	84952.88438
534	84916.84214
535	84895.15061
536	84853.55948
537	84835.29556
538	84810.76378
539	84800.30359
540	84761.52448
541	84736.89382
542	84694.43724
543	84694.43711
544	84668.72959
545	84647.75079
546	84640.13828
547	84612.95007
548	84601.77423
549	84600.94187
550	84579.63147
551	84555.56145
552	84526.91682
553	84499.89811
554	84469.91366
555	84446.49561
556	84414.95924
557	84390.00141
558	84367.11437
559	84329.17938
560	84301.3911
561	84272.86597
562	84247.48555
563	84223.35375
564	84202.37665
565	84167.10995
566	84136.2253
567	84124.23421
568	84064.98192
569	84059.04688
570	84038.88367
571	84017.49384
572	83998.03893
573	83998.0383
574	83976.0399
575	83950.96316
576	83906.06101
577	83870.3276
578	83847.61477
579	83833.78272
580	83793.57378
581	83778.86652
