iter	Passed	Remaining
0	1	817
1	2	793
2	3	773
3	4	771
4	5	779
5	5	713
6	6	729
7	8	746
8	9	776
9	11	841
10	12	843
11	13	836
12	14	835
13	15	837
14	17	842
15	18	840
16	19	840
17	20	843
18	21	840
19	22	838
20	24	835
21	25	840
22	26	837
23	27	837
24	28	832
25	29	827
26	30	821
27	31	818
28	32	816
29	33	812
30	34	803
31	35	798
32	36	797
33	37	796
34	38	795
35	40	808
36	42	813
37	43	811
38	44	807
39	45	813
40	47	816
41	48	813
42	49	810
43	50	808
44	51	805
45	52	804
46	53	801
47	54	800
48	57	815
49	58	817
50	59	816
51	60	817
52	61	812
53	62	807
54	64	815
55	65	812
56	66	809
57	67	807
58	68	805
59	69	803
60	72	815
61	73	817
62	74	816
63	75	813
64	76	810
65	78	808
66	79	807
67	80	805
68	81	803
69	82	800
70	83	798
71	84	794
72	85	793
73	87	799
74	88	796
75	89	795
76	90	794
77	91	791
78	92	788
79	94	787
80	94	784
81	96	782
82	97	780
83	98	778
84	99	776
85	100	775
86	102	780
87	103	781
88	105	779
89	106	780
90	107	776
91	108	773
92	109	771
93	110	771
94	111	771
95	113	772
96	121	818
97	122	816
98	123	813
99	124	810
100	126	812
101	127	809
102	128	807
103	129	804
104	130	801
105	131	800
106	133	800
107	134	799
108	136	800
109	137	799
110	138	797
111	139	795
112	140	790
113	141	788
114	142	787
115	143	785
116	144	783
117	146	782
118	147	782
119	148	781
120	150	781
121	151	779
122	152	777
123	153	775
124	154	773
125	155	771
126	156	769
127	157	766
128	158	764
129	160	763
130	161	760
131	162	758
132	163	759
133	164	757
134	165	755
135	166	753
136	167	749
137	168	747
138	169	744
139	169	740
140	170	738
141	171	735
142	172	733
143	173	732
144	175	731
145	176	729
146	177	727
147	179	729
148	180	727
149	181	725
150	182	724
151	183	721
152	184	720
153	185	717
154	186	715
155	187	714
156	188	712
157	189	711
158	191	711
159	192	709
160	194	709
161	195	709
162	196	707
163	197	706
164	198	704
165	199	703
166	201	701
167	202	701
168	203	700
169	205	699
170	206	698
171	207	697
172	210	702
173	211	701
174	213	701
175	214	700
176	215	698
177	217	697
178	217	694
179	218	692
180	219	691
181	221	689
182	221	687
183	222	685
184	224	685
185	226	686
186	227	684
187	228	683
188	229	681
189	230	678
190	231	676
191	232	675
192	233	673
193	234	672
194	235	670
195	236	669
196	237	667
197	238	665
198	240	666
199	242	666
200	243	666
201	244	664
202	246	663
203	247	662
204	248	660
205	249	659
206	250	658
207	252	656
208	253	655
209	254	654
210	256	656
211	258	654
212	259	653
213	260	651
214	261	650
215	262	648
216	263	647
217	264	646
218	265	644
219	266	642
220	267	640
221	269	639
222	271	640
223	272	640
224	273	639
225	275	638
226	276	637
227	278	636
228	279	636
229	281	636
230	283	636
231	284	635
232	286	635
233	287	635
234	289	633
235	289	631
236	290	629
237	291	627
238	292	625
239	293	623
240	294	621
241	295	619
242	296	617
243	297	616
244	298	615
245	299	614
246	301	614
247	302	613
248	304	612
249	305	610
250	306	608
251	306	606
252	307	604
253	308	602
254	309	601
255	310	598
256	311	597
257	312	595
258	313	594
259	314	593
260	316	592
261	317	592
262	319	590
263	320	589
264	321	587
265	322	586
266	323	585
267	324	583
268	325	582
269	326	581
270	327	579
271	329	578
272	330	577
273	332	577
274	333	576
275	335	575
276	336	573
277	336	572
278	337	570
279	338	568
280	339	567
281	340	565
282	341	563
283	342	561
284	343	559
285	344	558
286	345	556
287	346	555
288	347	555
289	349	553
290	350	552
291	351	551
292	352	549
293	353	548
294	354	547
295	355	544
296	356	543
297	357	541
298	358	540
299	359	538
300	359	536
301	360	534
302	361	533
303	362	532
304	364	532
305	365	530
306	367	529
307	368	528
308	369	526
309	370	525
310	371	524
311	372	522
312	373	521
313	374	519
314	375	517
315	376	516
316	377	515
317	379	515
318	380	513
319	381	512
320	382	511
321	383	509
322	383	507
323	384	505
324	385	504
325	386	503
326	387	501
327	388	500
328	389	498
329	390	497
330	391	495
331	391	493
332	394	493
333	396	493
334	396	491
335	397	489
336	398	488
337	399	486
338	400	485
339	400	483
340	402	482
341	402	480
342	403	479
343	404	477
344	405	476
345	406	474
346	407	473
347	408	472
348	409	470
349	410	469
350	411	468
351	412	466
352	413	465
353	414	463
354	415	462
355	416	460
356	417	459
357	418	458
358	419	456
359	420	455
360	421	453
361	422	452
362	422	450
363	424	449
364	425	448
365	426	447
366	427	446
367	428	444
368	429	443
369	430	441
370	431	440
371	432	439
372	432	437
373	433	436
374	434	434
375	435	433
376	436	432
377	437	430
378	438	429
379	440	428
380	441	427
381	442	426
382	443	425
383	444	423
384	445	422
385	446	420
386	447	419
387	448	418
388	449	416
389	449	415
390	450	413
391	451	412
392	452	410
393	453	409
394	454	408
395	455	407
396	456	405
397	457	404
398	458	403
399	459	401
400	460	400
401	460	399
402	461	397
403	462	396
404	463	395
405	464	393
406	465	392
407	466	391
408	467	389
409	468	388
410	469	387
411	470	386
412	471	384
413	472	383
414	473	382
415	474	380
416	475	379
417	476	378
418	477	377
419	478	375
420	479	374
421	479	373
422	480	371
423	481	370
424	482	369
425	483	367
426	484	366
427	485	365
428	487	364
429	487	363
430	488	361
431	489	360
432	490	359
433	491	358
434	492	356
435	493	355
436	494	354
437	495	352
438	496	351
439	497	350
440	498	349
441	499	347
442	499	346
443	501	345
444	502	344
445	503	343
446	504	341
447	505	340
448	506	339
449	507	338
450	508	337
451	509	335
452	510	334
453	511	333
454	511	331
455	512	330
456	513	329
457	514	328
458	515	326
459	516	325
460	517	324
461	518	323
462	519	321
463	519	320
464	520	319
465	521	317
466	522	316
467	523	315
468	524	313
469	524	312
470	525	311
471	526	310
472	527	309
473	528	307
474	529	306
475	530	305
476	531	304
477	533	303
478	533	302
479	534	300
480	535	299
481	536	298
482	537	297
483	538	295
484	539	294
485	540	293
486	541	292
487	542	291
488	543	289
489	543	288
490	544	287
491	545	286
492	546	285
493	548	284
494	548	282
495	549	281
496	551	280
497	552	279
498	553	278
499	554	277
500	555	275
501	555	274
502	556	273
503	557	272
504	558	271
505	559	269
506	560	268
507	561	267
508	562	266
509	564	265
510	565	264
511	566	263
512	567	262
513	568	260
514	569	259
515	570	258
516	571	257
517	571	256
518	572	254
519	573	253
520	574	252
521	575	251
522	576	250
523	577	248
524	578	247
525	579	246
526	580	245
527	581	244
528	582	243
529	582	241
530	583	240
531	584	239
532	585	238
533	586	237
534	587	236
535	588	234
536	589	233
537	590	232
538	591	231
539	592	230
540	593	229
541	594	228
542	595	226
543	595	225
544	596	224
545	597	223
546	598	222
547	599	221
548	600	219
549	601	218
550	602	217
551	603	216
552	604	215
553	605	214
554	606	212
555	607	211
556	608	210
557	609	209
558	610	208
559	611	207
560	612	206
561	613	205
562	614	204
563	615	202
564	616	201
565	617	200
566	618	199
567	619	198
568	620	197
569	621	196
570	622	195
571	622	193
572	624	192
573	624	191
574	625	190
575	626	189
576	627	188
577	628	186
578	629	185
579	630	184
580	631	183
581	631	182
582	632	181
583	633	180
584	633	178
585	634	177
586	635	176
587	636	175
588	637	174
589	638	173
590	640	172
591	641	171
592	641	169
593	642	168
594	643	167
595	644	166
596	645	165
597	646	164
598	647	163
599	647	161
600	648	160
601	649	159
602	650	158
603	651	157
604	652	156
605	653	155
606	653	154
607	654	152
608	656	151
609	656	150
610	657	149
611	658	148
612	659	147
613	660	146
614	661	145
615	662	144
616	663	142
617	663	141
618	664	140
619	665	139
620	666	138
621	666	137
622	667	136
623	668	135
624	669	133
625	670	132
626	671	131
627	672	130
628	673	129
629	674	128
630	675	127
631	676	126
632	677	125
633	678	124
634	678	122
635	679	121
636	680	120
637	681	119
638	682	118
639	682	117
640	683	116
641	684	115
642	685	114
643	686	113
644	687	111
645	688	110
646	689	109
647	690	108
648	691	107
649	692	106
650	693	105
651	693	104
652	694	103
653	695	102
654	696	100
655	697	99
656	698	98
657	699	97
658	700	96
659	701	95
660	702	94
661	703	93
662	703	92
663	704	91
664	705	90
665	706	89
666	707	88
667	708	86
668	709	85
669	710	84
670	711	83
671	712	82
672	713	81
673	714	80
674	714	79
675	715	78
676	717	77
677	718	76
678	719	75
679	719	74
680	720	73
681	721	71
682	722	70
683	723	69
684	724	68
685	725	67
686	726	66
687	727	65
688	728	64
689	729	63
690	729	62
691	730	61
692	731	60
693	732	59
694	733	58
695	734	57
696	735	55
697	736	54
698	737	53
699	738	52
700	739	51
701	740	50
702	741	49
703	742	48
704	742	47
705	743	46
706	744	45
707	745	44
708	746	43
709	747	42
710	748	41
711	749	40
712	750	38
713	751	37
714	752	36
715	753	35
716	754	34
717	754	33
718	755	32
719	756	31
720	757	30
721	757	29
722	758	28
723	759	27
724	760	26
725	761	25
726	762	24
727	763	23
728	764	22
729	765	20
730	766	19
731	767	18
732	768	17
733	768	16
734	769	15
735	770	14
736	771	13
737	772	12
738	773	11
739	774	10
740	775	9
741	776	8
742	777	7
743	778	6
744	779	5
745	780	4
746	781	3
747	782	2
748	783	1
749	784	0
