service_date|day_type|bus|rail_boardings|total_rides
2001-01-01|U|297192|126455|423647
2001-01-02|W|780827|501952|1282779
2001-01-03|W|824923|536432|1361355
2001-01-04|W|870021|550011|1420032
2001-01-05|W|890426|557917|1448343
2001-01-06|A|577401|255356|832757
2001-01-07|U|375831|169825|545656
2001-01-08|W|985221|590706|1575927
2001-01-09|W|978377|599905|1578282
2001-01-10|W|984884|602052|1586936
2001-01-11|W|995561|607503|1603064
2001-01-12|W|1018985|605252|1624237
2001-01-13|A|591791|270056|861847
2001-01-14|U|373091|174842|547933
2001-01-15|W|675845|412149|1087994
2001-01-16|W|1024367|622163|1646530
2001-01-17|W|1018690|620343|1639033
2001-01-18|W|1006996|618832|1625828
2001-01-19|W|909964|583851|1493815
2001-01-20|A|582348|263815|846163
2001-01-21|U|378381|172107|550488
2001-01-22|W|1005936|598777|1604713
2001-01-23|W|1019983|610352|1630335
2001-01-24|W|991661|606835|1598496
2001-01-25|W|1004257|609877|1614134
2001-01-26|W|965324|597039|1562363
2001-01-27|A|590836|268078|858914
2001-01-28|U|368819|174434|543253
2001-01-29|W|953532|587052|1540584
2001-01-30|W|982046|607858|1589904
2001-01-31|W|999392|610508|1609900
2001-02-01|W|1054608|615268|1669876
2001-02-02|W|966701|577767|1544468
2001-02-03|A|611703|263612|875315
2001-02-04|U|404212|178398|582610
2001-02-05|W|1045944|600588|1646532
2001-02-06|W|1039393|612435|1651828
2001-02-07|W|1015059|609022|1624081
2001-02-08|W|1007760|610237|1617997
2001-02-09|W|970826|593354|1564180
2001-02-10|A|605404|271313|876717
2001-02-11|U|405433|178810|584243
2001-02-12|W|872330|539393|1411723
2001-02-13|W|1050834|622753|1673587
2001-02-14|W|1004304|610966|1615270
2001-02-15|W|1028938|613323|1642261
2001-02-16|W|1033040|601418|1634458
2001-02-17|A|591717|269294|861011
2001-02-18|U|388788|176855|565643
2001-02-19|W|782447|457891|1240338
2001-02-20|W|1035400|610284|1645684
2001-02-21|W|986212|600133|1586345
2001-02-22|W|986399|606302|1592701
2001-02-23|W|1024235|602352|1626587
2001-02-24|A|505193|246795|751988
2001-02-25|U|351637|172132|523769
2001-02-26|W|1009329|609256|1618585
2001-02-27|W|1000630|609305|1609935
2001-02-28|W|990416|610013|1600429
2001-03-01|W|1051889|618440|1670329
2001-03-02|W|1062234|611578|1673812
2001-03-03|A|678870|286786|965656
2001-03-04|U|385978|178292|564270
2001-03-05|W|863086|549759|1412845
2001-03-06|W|1013530|603561|1617091
2001-03-07|W|1028462|616666|1645128
2001-03-08|W|1000946|611371|1612317
2001-03-09|W|1038368|606672|1645040
2001-03-10|A|633472|283251|916723
2001-03-11|U|410081|188228|598309
2001-03-12|W|979411|588857|1568268
2001-03-13|W|1017685|611347|1629032
2001-03-14|W|1025283|619417|1644700
2001-03-15|W|960667|596612|1557279
2001-03-16|W|923613|583359|1506972
2001-03-17|A|602158|343893|946051
2001-03-18|U|412146|194257|606403
2001-03-19|W|1021700|602469|1624169
2001-03-20|W|1034388|618340|1652728
2001-03-21|W|1029332|616764|1646096
2001-03-22|W|1030741|617815|1648556
2001-03-23|W|1030685|605605|1636290
2001-03-24|A|604139|277028|881167
2001-03-25|U|348817|170742|519559
2001-03-26|W|989316|583176|1572492
2001-03-27|W|1017904|600914|1618818
2001-03-28|W|1007699|601999|1609698
2001-03-29|W|1020098|605027|1625125
2001-03-30|W|978244|590403|1568647
2001-03-31|A|626223|280950|907173
2001-04-01|U|417716|192717|610433
2001-04-02|W|1023629|611098|1634727
2001-04-03|W|1057275|613993|1671268
2001-04-04|W|1047634|625348|1672982
2001-04-05|W|973118|606535|1579653
2001-04-06|W|1015046|611352|1626398
2001-04-07|A|642265|297971|940236
2001-04-08|U|437035|200720|637755
2001-04-09|W|998290|596418|1594708
2001-04-10|W|1024817|613311|1638128
2001-04-11|W|985906|606764|1592670
2001-04-12|W|991795|608691|1600486
2001-04-13|W|865706|527116|1392822
2001-04-14|A|628526|279728|908254
2001-04-15|U|364972|163191|528163
2001-04-16|W|859713|564614|1424327
2001-04-17|W|877834|583859|1461693
2001-04-18|W|907539|599600|1507139
2001-04-19|W|917518|596505|1514023
2001-04-20|W|922082|590659|1512741
2001-04-21|A|603039|293701|896740
2001-04-22|U|384255|185526|569781
